,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Linxia,52,CN,1572821282,56,35.6,103.21,37.38,2.1
376,Teya,72,RU,1572820713,94,60.38,92.63,9.34,3.76
377,Egvekinot,95,RU,1572821282,95,66.32,-179.17,10.4,2.93
378,Erzin,0,TR,1572821282,71,36.96,36.2,59.0,6.93
379,Abnub,0,EG,1572821283,48,27.27,31.15,63.12,3.56
380,Beringovskiy,98,RU,1572820724,89,63.05,179.32,30.0,1.52
381,Leiyang,0,CN,1572821283,70,26.4,112.86,60.55,3.15
382,Cusuna,5,HN,1572821284,76,15.85,-85.23,79.72,5.66
383,Seydi,49,TM,1572821284,66,39.48,62.91,36.25,7.31
384,Jiutai,0,CN,1572821284,85,44.15,125.83,14.0,2.35
385,Bandarbeyla,29,SO,1572821284,80,9.49,50.81,81.03,12.24
386,Sorland,75,NO,1572820698,64,67.67,12.69,35.6,4.7
387,Povolzhskiy,36,RU,1572821285,92,53.59,49.76,24.8,8.95
388,Uthal,0,PK,1572821285,54,25.81,66.62,81.39,4.29
389,Port Jervis,90,US,1572821285,65,41.38,-74.69,51.8,9.17
390,Jaynagar,0,IN,1572821286,79,26.58,86.15,69.55,3.6
391,Kailua,75,US,1572821286,70,21.4,-157.74,84.2,5.82
392,Feucht,75,DE,1572821286,93,49.38,11.21,51.01,4.7
393,Bonavista,100,CA,1572820718,98,48.65,-53.11,50.36,27.09
394,Sao Jose da Coroa Grande,0,BR,1572820714,80,-8.9,-35.15,78.6,15.52
395,Fengrun,0,CN,1572821287,20,39.83,118.12,44.28,1.05
396,Camacha,40,PT,1572821287,82,33.08,-16.33,68.0,6.93
397,Lagos,20,NG,1572821143,88,6.45,3.4,78.8,2.24
398,Champerico,40,GT,1572821288,55,14.3,-91.92,89.6,6.93
399,Riyadh,31,SA,1572820721,44,24.69,46.72,75.2,3.36
400,Sao Filipe,0,CV,1572821288,61,14.9,-24.5,79.99,8.12
401,Boca do Acre,72,BR,1572821288,96,-8.75,-67.4,73.8,3.85
402,Tautira,40,PF,1572821288,79,-17.73,-149.15,84.2,14.99
403,Conway,1,US,1572821054,36,35.09,-92.44,62.6,8.05
404,Anadyr,40,RU,1572821289,85,64.75,177.48,17.6,2.24
405,Kudahuvadhoo,3,MV,1572821289,72,2.67,72.89,81.91,3.31
406,Atbasar,100,KZ,1572821284,92,51.8,68.33,27.73,20.94
407,Axim,13,GH,1572821289,90,4.87,-2.24,74.98,1.25
408,Vostok,0,RU,1572820761,62,46.49,135.88,21.58,2.68
409,Bireun,100,ID,1572821290,78,5.2,96.7,67.5,3.83
410,Donetsk,89,UA,1572821290,62,48.0,37.8,39.87,10.31
411,Asheville,1,US,1572821290,30,35.6,-82.55,55.4,3.36
412,San Quintin,0,MX,1572821291,59,30.48,-115.95,67.91,10.69
413,Mount Isa,75,AU,1572820713,57,-20.73,139.5,78.8,13.87
414,Kaeo,91,NZ,1572820741,53,-35.1,173.78,86.0,8.99
415,Paita,12,PE,1572821291,100,-5.09,-81.11,62.6,12.75
416,Yulara,0,AU,1572821292,22,-25.24,130.99,66.2,13.87
417,Srednekolymsk,95,RU,1572820767,90,67.45,153.68,9.84,5.57
418,Coos Bay,1,US,1572821052,76,43.37,-124.22,64.99,20.8
419,Seoul,1,KR,1572821172,100,37.57,126.98,48.2,3.36
420,Praia,20,CV,1572821293,57,14.92,-23.51,80.6,13.87
421,Salinopolis,33,BR,1572820759,78,-0.61,-47.36,81.95,20.0
422,Imbituba,75,BR,1572821293,88,-28.24,-48.67,71.6,9.17
423,Awjilah,0,LY,1572821293,49,29.11,21.29,66.97,8.14
424,Masvingo,68,ZW,1572821294,32,-20.06,30.83,73.49,7.29
425,Ugoofaaru,50,MV,1572821294,67,5.67,73.0,82.11,4.52
426,Nikolayevsk-na-Amure,100,RU,1572821294,95,53.14,140.73,28.0,8.37
427,Al,61,NO,1572821294,73,60.63,8.56,21.99,2.8
428,Vanersborg,100,SE,1572821295,93,58.38,12.32,37.99,16.11
429,Ozernovskiy,97,RU,1572820762,71,51.5,156.52,39.81,9.33
430,Chumikan,0,RU,1572821295,51,54.72,135.31,21.36,3.33
431,Taltal,88,CL,1572821295,83,-25.4,-70.48,54.99,0.89
432,Urucara,16,BR,1572821296,57,-2.54,-57.76,82.62,0.38
433,Rocha,22,UY,1572820732,97,-34.48,-54.33,52.66,6.11
434,Turukhansk,92,RU,1572821296,96,65.82,87.98,-0.86,7.45
435,Port Macquarie,90,AU,1572821296,73,-31.43,152.92,84.0,5.82
436,Emba,20,CY,1572821297,77,34.81,32.42,62.6,8.05
437,Souillac,40,MU,1572820714,83,-20.52,57.52,73.4,10.29
438,Sterling,1,US,1572821030,39,39.01,-77.43,53.6,3.29
439,Muros,75,ES,1572820697,93,42.78,-9.06,66.0,14.99
440,Praia da Vitoria,75,PT,1572821174,72,38.73,-27.07,66.2,12.26
441,Ust-Nera,100,RU,1572821298,100,64.57,143.2,-6.47,2.75
442,Yar-Sale,0,RU,1572820786,92,66.83,70.83,2.12,7.36
443,Kirkwall,75,GB,1572821299,87,58.98,-2.96,48.2,19.46
444,Ondangwa,44,NA,1572821299,46,-17.92,15.95,77.5,7.34
445,Torbay,90,CA,1572821299,100,47.67,-52.73,57.0,19.46
446,Goderich,100,CA,1572820727,74,43.75,-81.72,41.0,5.99
447,Minas,1,UY,1572821300,82,-34.38,-55.24,60.8,9.17
448,Aswan,13,EG,1572821300,36,24.09,32.91,68.34,9.33
449,Murwara,30,IN,1572821300,78,23.85,80.4,68.4,1.32
450,Belyy Yar,97,RU,1572821300,92,53.6,91.39,14.0,5.26
451,Puerto Leguizamo,99,CO,1572821301,95,-0.19,-74.78,74.35,1.1
452,Yamada,15,JP,1572821301,52,39.47,141.95,49.84,5.68
453,Yashkul,17,RU,1572821301,59,46.17,45.34,33.53,8.5
454,Hope,1,US,1572821301,36,33.67,-93.59,63.0,4.7
455,Guamuchil,87,MX,1572821302,34,25.47,-108.1,93.99,5.01
456,Yanam,0,IN,1572820766,85,16.73,82.22,73.49,2.48
457,Babushkin,97,RU,1572821302,88,51.71,105.86,15.49,8.08
458,Gore,16,NZ,1572821302,53,-46.1,168.94,69.21,3.2
459,Luocheng,100,CN,1572821302,86,29.38,104.03,62.29,3.15
460,Zhuhai,20,CN,1572820719,60,22.28,113.57,75.2,21.92
461,Dunedin,17,NZ,1572821303,35,-45.87,170.5,75.99,7.0
462,Klaebu,0,NO,1572821303,79,63.3,10.48,30.2,11.41
463,Port Augusta,15,AU,1572820720,67,-32.5,137.77,59.0,11.41
464,Cabedelo,40,BR,1572821303,78,-6.98,-34.83,78.8,6.93
465,Rio Grande,100,BR,1572820716,82,-32.03,-52.1,66.2,5.82
466,Celestun,54,MX,1572821304,78,20.87,-90.4,78.57,20.65
467,Hofn,100,IS,1572820720,76,64.25,-15.21,38.07,27.04
468,Redcliffe,75,AU,1572821304,69,-27.23,153.1,79.0,11.41
469,Fairbanks,90,US,1572821294,92,64.84,-147.72,19.0,1.25
470,Quelimane,0,MZ,1572821305,69,-17.88,36.89,77.0,4.7
471,Tefe,20,BR,1572821305,66,-3.35,-64.71,86.0,4.7
472,Ballina,90,AU,1572821305,73,-28.87,153.57,80.6,8.05
473,Stralsund,75,DE,1572821306,100,54.31,13.08,50.0,5.82
474,Gyonk,82,HU,1572821306,73,46.56,18.48,60.78,16.46
475,Arlit,0,NE,1572821306,13,18.74,7.39,83.1,5.23
476,Maningrida,54,AU,1572821306,69,-12.07,134.27,81.99,6.58
477,Laranjeiras do Sul,97,BR,1572821306,97,-25.41,-52.42,68.27,8.86
478,Gornopravdinsk,57,RU,1572820750,96,60.05,69.9,13.42,4.29
479,Dolores,0,AR,1572821307,86,-36.31,-57.68,56.17,9.51
480,Nantucket,1,US,1572820779,57,41.28,-70.1,52.0,8.05
481,Puri,0,IN,1572821307,100,19.8,85.85,71.6,5.1
482,Inuvik,90,CA,1572821307,92,68.35,-133.72,21.2,2.24
483,College,90,US,1572820775,92,64.86,-147.8,19.0,1.28
484,Roald,0,NO,1572820709,55,62.58,6.13,37.4,18.34
485,Zyryanka,100,RU,1572820800,86,65.75,150.85,17.73,4.47
486,Kindu,81,CD,1572821308,96,-2.95,25.95,66.76,2.68
487,Burnie,52,AU,1572820767,60,-41.07,145.92,64.99,8.99
488,Vermillion,90,US,1572821308,70,42.78,-96.93,48.2,5.82
489,Fuerte Olimpo,66,PY,1572821309,32,-21.04,-57.87,92.23,3.98
490,Paamiut,35,GL,1572820725,49,61.99,-49.67,31.24,10.36
491,La Rioja,40,ES,1572821309,81,42.25,-2.5,53.6,2.24
492,Hof,90,DE,1572821310,100,50.32,11.92,50.0,3.36
493,Pangody,0,RU,1572820720,92,65.85,74.49,0.14,6.98
494,Florida,90,US,1572821246,64,28.75,-82.5,75.99,11.86
495,Irupi,26,BR,1572821310,83,-20.35,-41.64,66.96,4.99
496,Tamiahua,72,MX,1572821310,84,21.27,-97.45,69.94,7.27
497,Hermsdorf,98,DE,1572821311,93,50.9,11.87,53.01,2.24
498,Sangar,100,RU,1572821311,94,63.92,127.47,8.33,2.66
499,Hartland,90,US,1572821129,88,43.1,-88.34,46.4,3.36
500,Da Lat,100,VN,1572821311,98,11.95,108.44,60.6,2.44
501,Nizhneangarsk,74,RU,1572821311,91,55.78,109.55,3.96,5.26
502,Zhoucheng,0,CN,1572821312,50,35.91,116.31,50.0,3.27
503,Adrar,0,DZ,1572821312,35,27.87,-0.29,73.4,4.7
504,Poso,90,ID,1572821205,63,-1.4,120.75,75.58,1.03
505,Viransehir,0,TR,1572821312,43,37.24,39.76,54.84,7.27
506,Barcelos,40,PT,1572820775,88,41.54,-8.62,62.6,11.41
507,Champawat,0,IN,1572821313,83,29.33,80.1,49.33,2.24
508,Agadez,0,NE,1572821313,17,19.75,10.25,78.04,7.74
509,Oktyabrskiy,15,RU,1572821313,81,54.48,53.47,22.26,8.66
510,Balkanabat,0,TM,1572821313,52,39.51,54.37,38.98,4.92
511,High Prairie,94,CA,1572821314,74,55.43,-116.49,29.17,1.74
512,Lanigan,100,CA,1572821314,93,51.85,-105.03,26.53,13.76
513,Xining,31,CN,1572821314,53,36.62,101.77,32.81,3.09
514,Colorado,25,BR,1572821314,64,-22.84,-51.97,84.0,4.94
515,Basco,98,PH,1572820770,86,20.45,121.97,79.48,19.75
516,Aguimes,40,ES,1572821315,78,27.91,-15.45,71.6,17.22
517,Guilin,0,CN,1572821315,100,25.28,110.29,53.6,2.24
518,Bay Roberts,90,CA,1572820747,100,47.6,-53.26,51.01,19.46
